"games_before_purchase","balance_before_purchase"
0,700
0,800
0,1070
0,1500
1,25
1,115
1,250
1,290
1,365
1,400
1,450
1,500
1,540
1,550
1,600
1,770
1,850
2,25
2,121
2,125
2,150
2,185
2,240
2,250
2,270
2,300
2,640
2,930
2,1041
3,50
3,55
3,310
3,395
4,22
4,50
4,55
4,153
4,175
4,600
4,870
5,25
5,125
5,555
5,1930
6,0
6,33
6,95
6,260
6,360
6,395
6,670
6,4752
7,0
7,295
8,15
8,55
8,420
10,135
10,170
10,237
10,633
10,704
10,810
11,445
11,600
12,180
12,479
12,1000
13,993
14,395
14,1806
15,188
15,1790
18,117
18,230
18,554
18,765
19,2427
20,755
23,1110
24,710
25,821
29,83
32,5370
33,2882
34,1624
35,617
36,5691
47,11945
53,216
55,570
66,511
66,21713
72,467
83,2128
96,174
102,8460
108,6072
134,2025
156,61
186,1869
233,2666
559,19958
682,857
724,631
792,3721
911,1511
1634,1085
